name,state,city
California Institute of Integral Studies,CA,San Francisco
Cabrillo College,CA,Aptos
California Baptist University,CA,Riverside
California College of the Arts,CA,Oakland
University of California Hastings College of Law,CA,San Francisco
California Institute of Technology,CA,Pasadena
California Lutheran University,CA,Thousand Oaks
California Polytechnic State University-San Luis Obispo,CA,San Luis Obispo
Alliant International University,CA,San Diego
California State University - Bakersfield,CA,Bakersfield
California State University - Stanislaus,CA,Turlock
California State University - San Bernardino,CA,San Bernardino
California State Polytechnic University - Pomona,CA,Pomona
California State University - Chico,CA,Chico
California State University - Dominguez Hills,CA,Carson
California State University - Fresno,CA,Fresno
California State University - Fullerton,CA,Fullerton
California State University - East Bay,CA,Hayward
California State University - Long Beach,CA,Long Beach
California State University - Los Angeles,CA,Los Angeles
California State University - Northridge,CA,Northridge
California State University - Sacramento,CA,Sacramento
University of California - Berkeley,CA,Berkeley
University of California - Davis,CA,Davis
University of California - Irvine,CA,Irvine
University of California - Los Angeles,CA,Los Angeles
University of California - Riverside,CA,Riverside
University of California - San Diego,CA,La Jolla
University of California - San Francisco,CA,San Francisco
University of California - Santa Barbara,CA,Santa Barbara
University of California - Santa Cruz,CA,Santa Cruz
Institute of Transpersonal Psychology,CA,Palo Alto
Mountain Oaks Adult Education Center,CA,Vacaville
California Beauty College,CA,Modesto
California Christian College,CA,Fresno
California Coast University,CA,Santa Ana
California College-San Diego,CA,San Diego
California Hair Design Academy,CA,La Mesa
California Institute of the Arts,CA,Valencia
California Maritime Academy,CA,Vallejo
California Western School of Law,CA,San Diego
Canada College,CA,Redwood City
College of the Canyons,CA,Santa Clarita
Career Academy of Beauty,CA,Garden Grove
Casa Loma College - Van Nuys,CA,Van Nuys
Center for Employment Training - San Diego,CA,San Diego
Center for Employment Training - San Jose,CA,San Jose
Center for Employment Training - Riverside,CA,Riverside
Cerritos College,CA,Norwalk
Cerro Coso Community College,CA,Ridgecrest
Chabot College,CA,Hayward
Chaffey College,CA,Rancho Cucamonga
Chapman University,CA,Orange
Charles R Drew University of Medicine and Science,CA,Los Angeles
Concordia University,CA,Irvine
San Diego Christian College,CA,El Cajon
Church Divinity School of the Pacific,CA,Berkeley
Citrus College,CA,Glendora
City College of San Francisco,CA,San Francisco
Claremont Graduate University,CA,Claremont
Claremont McKenna College,CA,Claremont
Milan Institute - Visalia,CA,Visalia
Clovis Adult Education,CA,Clovis
Coastline Community College,CA,Fountain Valley
Cogswell Polytechnical College,CA,Sunnyvale
Coleman University,CA,San Diego
COBA Academy,CA,Orange
National Polytechnic College of Science,CA,Wilmington
Western University of Health Sciences,CA,Pomona
Columbia College,CA,Sonora
Columbia College Hollywood,CA,Tarzana
Morgan Hill Community Adult School,CA,Morgan Hill
Compton Community College,CA,Compton
Western Beauty Institute,CA,Panorama City
Contra Costa College,CA,San Pablo
Cosumnes River College,CA,Sacramento
Crafton Hills College,CA,Yucaipa
Crenshaw-Washington Community Adult School,CA,Los Angeles
Cuesta College,CA,San Luis Obispo
Cuyamaca College,CA,El Cajon
Cypress College,CA,Cypress
De Anza College,CA,Cupertino
Marinello School of Beauty - Hemet,CA,Hemet
Deep Springs College,CA,Big Pine
Dell'Arte International School of Physical Theatre,CA,Blue Lake
College of the Desert,CA,Palm Desert
Design Institute of San Diego,CA,San Diego
Kasson Adult School - Deuel Vocational Institution,CA,Tracy
Diablo Valley College,CA,Pleasant Hill
Dominican University of California,CA,San Rafael
Dominican School of Philosophy and Theology,CA,Berkeley
Don Bosco Technical Institute,CA,Rosemead
East Los Angeles College,CA,Monterey Park
East Los Angeles Occupational Center,CA,Los Angeles
Marinello School of Beauty - Santa Clara,CA,Santa Clara
SDCCD Continuing Education,CA,San Diego
El Camino College,CA,Torrance
Elegance International,CA,Hollywood
Marinello School of Beauty - Burbank,CA,Burbank
Marinello School of Beauty - Moreno Valley,CA,Moreno Valley
Emperor's College of Traditional Oriental Medicine,CA,Santa Monica
Empire College,CA,Santa Rosa
Evergreen Valley College,CA,San Jose
Fashion Institute of Design and Merchandising,CA,Los Angeles
Fashion Careers College,CA,San Diego
Feather River College,CA,Quincy
Federico Beauty Institute,CA,Sacramento
Fielding Graduate University,CA,Santa Barbara
"Five Branches University:  Graduate School of Traditional Chinese Medicine - Santa Cruz, CA",CA,Santa Cruz
Hair California Beauty Academy,CA,Orange
Foothill College,CA,Los Altos Hills
Franciscan School of Theology,CA,Berkeley
Fredrick and Charles Beauty College,CA,Eureka
Fresno City College,CA,Fresno
Fresno Pacific University,CA,Fresno
Fuller Theological Seminary,CA,Pasadena
Fullerton College,CA,Fullerton
Galen College of Medical and Dental Assistants,CA,Modesto
Gavilan College,CA,Gilroy
Gemological Institute of America,CA,Carlsbad
Glendale Community College,CA,Glendale
Golden Gate Baptist Theological Seminary,CA,Mill Valley
Golden Gate University-San Francisco,CA,San Francisco
Golden West College,CA,Huntington Beach
Graduate Theological Union,CA,Berkeley
Grossmont Adult School `,CA,El Cajon
Grossmont-Cuyamaca Community College District,CA,El Cajon
Grossmont College,CA,El Cajon
Salon Success Academy - San Bernardino,CA,San Bernardino
Harbor Occupational Center,CA,San Pedro
Hartnell College,CA,Salinas
Harvey Mudd College,CA,Claremont
Hilltop Beauty School,CA,Daly City
Holy Names University,CA,Oakland
Pacifica Graduate Institute,CA,Carpinteria
Humboldt State University,CA,Arcata
Humphreys College - Stockton,CA,Stockton
Imperial Valley College,CA,Imperial
Institute for Business and Technology,CA,Santa Clara
ICR Graduate School,CA,Santee
LA College International,CA,Los Angeles
Interior Designers Institute,CA,Newport Beach
International School of Cosmetology,CA,Santa Monica
Irvine Valley College,CA,Irvine
Bellus Academy - El Cajon,CA,El Cajon
John F Kennedy University,CA,Pleasant Hill
American Jewish University,CA,Los Angeles
Reedley College,CA,Reedley
Life Pacific College,CA,San Dimas
The Art Institute of California - San Diego,CA,San Diego
University of La Verne,CA,La Verne
Laguna College of Art and Design,CA,Laguna Beach
Athena College of Beauty,CA,Laguna Hills
Lake Tahoe Community College,CA,South Lake Tahoe
Lancaster Beauty School,CA,Lancaster
Laney College,CA,Oakland
Lassen Community College,CA,Susanville
Life Chiropractic College-West,CA,Hayward
Lincoln University,CA,Oakland
Southern California Seminary,CA,El Cajon
La Sierra University,CA,Riverside
Loma Linda University,CA,Loma Linda
Long Beach City College,CA,Long Beach
Southern California University of Health Sciences,CA,Whittier
Los Angeles Harbor College,CA,Wilmington
Los Angeles Pierce College,CA,Woodland Hills
Los Angeles Southwest College,CA,Los Angeles
Los Angeles Trade Technical College,CA,Los Angeles
Los Angeles Valley College,CA,Valley Glen
The Master's College and Seminary,CA,Santa Clarita
Los Angeles City College,CA,Los Angeles
Harbor - UCLA Medical Center,CA,Torrance
Los Angeles County College of Nursing and Allied Health,CA,Los Angeles
Los Angeles Mission College,CA,Sylmar
Los Medanos College,CA,Pittsburg
Loyola Marymount University,CA,Los Angeles
Manchester Beauty College,CA,Fresno
Tulare Beauty College,CA,Tulare
Lytle's Redwood Empire Beauty College Inc,CA,Santa Rosa
MTI Business College Inc,CA,Stockton
MTI College,CA,Sacramento
Kaplan College - Sacramento,CA,Sacramento
Kaplan College - San Diego,CA,San Diego
Kaplan College - Vista,CA,Vista
College of Marin,CA,Kentfield
Marinello School of Beauty - Los Angeles,CA,Los Angeles
Marinello School of Beauty - Inglewood,CA,Inglewood
Marinello School of Beauty - Whittier,CA,Whittier
Marinello School of Beauty - Reseda,CA,Reseda
Marinello School of Beauty - North Hollywood,CA,Simi Valley
Marinello School of Beauty - Ontario,CA,Ontario
Marinello School of Beauty - San Diego,CA,San Diego
Marinello School of Beauty - San Bernardino,CA,San Bernardino
Marinello School of Beauty - West Covina,CA,West Covina
Marymount College,CA,Rancho Palos Verdes
Mendocino College,CA,Ukiah
Menlo College,CA,Atherton
